Name,Comment,Time,Likes,Reply Count
Shivam Rai,Inorder me pehle 3 print hoga ya 6,2023-01-21T14:41:11Z,1,1
Anita Nigam,Thank you so much ma&#39;am very helpful video 😊,2023-01-16T16:00:03Z,1,0
Ayush,"This playlist looks randomly arranged. Can anyone please let me know which video is first to watch in the playlist, which video is second, till last video. I know the content is good.",2023-01-15T07:54:03Z,0,0
Bodhisattwa Basu,can anyone tell me how the value of idx is passed without any parameter?,2023-01-09T04:55:23Z,0,0
RaHuL_PaL_Aspirants,Very helpful video &amp; Thank you sradha didi ❤!!!!!!!!!!!!!!!!,2023-01-05T03:20:47Z,0,0
Kamran Syed,u talk like sandeep maheswari,2023-01-02T18:17:17Z,0,0
Upakul,Do watch other creators also,2022-12-25T07:30:53Z,0,0
Sanju Dhounchak,Subtree of 1?,2022-12-25T02:15:06Z,0,0
Jaideep Yogish,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=18m39s"">18:39</a>",2022-12-22T17:40:53Z,0,0
RANGA BHAI,ye live nhi h kya,2022-12-19T16:39:10Z,1,1
suraj binnewale,please upload Oracle sql series,2022-12-15T18:15:59Z,1,0
Disha Tarafdar,This is a part of graph theory... It is a important course in Mathematics,2022-12-12T10:34:40Z,4,0
CodeVert,nice,2022-12-07T16:27:55Z,0,0
Aashi Pradhan,"Shradha Di for You:&quot;Ye kitni Awesome h Yar&quot;&lt;3<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",2022-12-06T21:23:06Z,1,0
Saranya Koneti,Please post data structures through c,2022-12-02T14:50:09Z,0,0
Anita Patil,Shraddha Didi plz make videos on dbms subject.,2022-11-18T16:09:04Z,0,0
Hemant Sharma,The only platform i have learnt in the simplest way.<br>Thank you ma&#39;am,2022-11-15T10:28:41Z,2,0
Toqeer Tahir,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=00h54m02s"">00:54:02</a> - Diameter of Tree (Approach 1)<br><a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=01h03m30s"">01:03:30</a> - Diameter of Tree (Approach 2)<br><br>public static int diameter(Node root) {<br>            if (root == null) {<br>                return 0;<br>            }<br>            int h1 = diameter(root.left);<br>            int h2 = diameter(root.right);<br>            return Math.max(h1, h2) + 1;<br>        }<br>        int h1 = diameter(i.left);<br>        int h2 = diameter(i.right);<br>        System.out.println(Math.max(h1 + h2 + 1,<br>                (Math.max(h1, h2) + 1)));",2022-11-14T13:35:01Z,0,0
Career choice 💐💐,Please make some videos regarding spring boot,2022-11-14T12:39:23Z,0,0
CONSUMER,Beautifully explained and was really easy to understand for someone from non coding background 🎉,2022-11-12T06:35:26Z,3,0
Dhruv Singhal,May I think that Didi<br>We can make or draw tree by using the postorder or inorder traversing -------<br>1. First we find root node with help of pre and post order.<br>2.  Child will come with help of inorder.<br>3. Then other nodes with help of post and pre  order also.,2022-11-11T16:46:29Z,0,0
Sarvesh Mahadik,"While explaining levels and sub-trees, how depth of level 4 will be 4 ? Will it not be 3?",2022-11-11T13:42:24Z,0,0
some life lesson,Madam you are making the diameter concept more complicated,2022-11-07T03:36:11Z,0,0
parag Bansal,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=32m00s"">32:00</a>",2022-11-06T04:41:01Z,0,0
ANGREJI LEARNER,Mamm such a good job,2022-11-05T11:14:48Z,0,0
siva mani,"As you worked in Microsoft ,if you explain in english then more number of will get benefited",2022-10-29T03:59:27Z,0,0
@susmita_jaiswal_official,tqq diii😍😍😍,2022-10-20T16:08:20Z,1,0
Gaming Profession,Kuchh awaz hi nhi aa rhi,2022-10-19T08:39:42Z,0,0
Dharmpal Singh,Please suggest us any best DSA book in Java programming,2022-10-18T05:38:58Z,1,0
Chelsa Daptry,"Hi shradha , could to do a complete video for graphs too?",2022-10-12T15:07:37Z,2,0
Antima Tiwari,Mam where is graph video,2022-10-08T05:39:07Z,0,0
NOORULLAH ANSARI,Good explanation with code<br>I am very happy 😊😁<br>Thank you very much,2022-10-05T22:53:58Z,1,0
the name,Amazing content ma&#39;am ☺️ lots of respect to you guys and especially Shraddha didi for such an awesome teaching skills,2022-10-05T19:01:07Z,17,0
your smile,l**d kuch samaj nay ara yarr😭😭😭😭😭😭,2022-10-03T14:04:27Z,0,0
Arun Singh,thank you didi .,2022-10-02T11:16:39Z,0,0
bhakti 🙏🙏,Didi how I  can apply in Microsoft please help me,2022-10-01T09:45:18Z,0,0
Pawar Sangram,Mam graph ds main ek video bana dejiye,2022-09-28T09:55:04Z,0,0
Arthana ps,"Hi Shradda, please upload java + graph tutorial asap",2022-09-25T12:04:41Z,0,0
bye,"Didi diameter wale function me agr hm daim1 and daim2 n nikale or direct leftsub tree or rightsubtree +1 krke kare to bi to vhi execution h mujhe diam1 and diam2 ka need nii smjh aya is jagah<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=1h02m00s"">1:02:00</a>",2022-09-22T06:16:52Z,0,0
Sk Samim Islam,Phir tree ko ulta latka dijiye,2022-09-21T06:24:58Z,0,0
Vinay Youth,"Maam ,<br>At  <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=1h00m33s"">1:00:33</a> ,for left subtree you said that height was 2 how it came as it returns value 3",2022-09-20T11:56:38Z,0,0
Shikha Tiwari,Di mujhe programming likhana hi thik se nahi ata.....🙍,2022-09-19T13:15:01Z,0,0
random person,1.00.42 how height will be 5 if left returned 3 and right returned 2 then by adding 1 it will be six  . explain anyone,2022-09-19T02:30:41Z,1,0
Soumik Sarkar,"Hi Shraddha,<br>I have a doubt here. In IsIdentical part at <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=1h17m51s"">1:17:51</a>, if subRoot is on leaf but root is not on leaf then also it should be a part of the tree right. <br><br>Say rootNodes array in preorder sequence is { 1, 2, 4, 6, -1, -1, 7, -1, -1, 5, -1, -1 3, -1, -1} and subNodes array is {2, 4, -1, -1, 5, -1, -1}. In that case also subNode tree is valid. <br><br>But with this if(root == null || subroot == null) return false;  would eliminate this case right? <br><br>Can you please explain this? It would be very helpful.",2022-09-18T07:01:10Z,8,3
Sadaf Khan,Ma&#39;am please post video on graph in java. That are very helpful for us.  :),2022-09-16T17:51:13Z,2,0
Shourov Paul,"Dide java ki tara trees ki vi Koi Keywoard hoti ha , Data struture ki kay keywoard hoti ha",2022-09-13T05:36:57Z,0,0
Sujit,mine target is not microsoft or google  how much difficulty level is there for other companies.🙃,2022-09-10T16:58:22Z,0,0
Ayush Patel,Ma&#39;am  please upload video that are left in java DSA 💥 course.,2022-09-08T18:52:45Z,0,0
Mumuksha,"I dont find this code working for me (build Tree) . Can anyone tell me if ive missed out on something?<br><br>Created a java class called &quot;practise&quot;<br>Getting error - Exception in thread &quot;main&quot; java.lang.ArrayIndexOutOfBoundsException: 8<br>	at practise.buildTree(practise.java:19)<br>	at practise.buildTree(practise.java:23)<br>	at practise.buildTree(practise.java:24)<br>	at practise.buildTree(practise.java:24)<br>	at practise.buildTree(practise.java:23)<br>	at practise.main(practise.java:34)<br><br><br><br>public class practise {<br><br>    static class Node {<br>        int data;<br>        Node left;<br>        Node right;<br><br>        Node(int data) {<br>            <a href=""http://this.data/"">this.data</a> = data;<br>            this.left = null;<br>            this.right = null;<br>        }<br>    }<br><br>    static class BinaryTree {<br>        static int idx = -1;<br><br>        public static Node buildTree(int nodes[]) {<br>            idx++;<br>            if (nodes[idx] == -1)<br>                return null;<br><br>            Node newnode = new Node(nodes[idx]);<br>            newnode.left = buildTree(nodes);<br>            newnode.right = buildTree(nodes);<br>            return newnode;<br>        }<br>    }<br><br><br>    public static void main(String args[])<br>    {<br>        int nodes[]= {5,2,4,-1,-1,5,-1,6} ;<br>        BinaryTree tree= new BinaryTree();<br>        Node root= tree.buildTree(nodes);<br>        System.out.print(root.data);<br><br>    }<br><br>}",2022-09-06T10:58:44Z,0,1
Soumya Ramakrishnan,"Di I watched this video and it cleared all my doubts regarding trees thank you so much. I have one request can you solve more problems on binary trees asked in amazon, google, microsoft and other  product companies please it will be really helpful. Also other traversals as well like zig zag traversal 😊😊😊😊",2022-09-05T11:36:39Z,4,0
Raushan Paswan,"Dear Shraddha Didi, you&#39;re doing a mistake in finding the height of the tree. Because in a tree, the height of any node is the number of edges from the leaf node to that node in the longest path. And the height of the root node is known as the height of the tree. If we have no node then the height of the tree is -1 and If we have a single node then the height is 0.<br>Code:<br> public static int height(Node root){<br>            if(root==null){<br>                return -1;<br>            }<br>            <br>            int leftnode=height(root.left);<br>            int rightnode=height(root.right);<br>            <br>            return Math.max(leftnode,rightnode)+1;<br>        }",2022-09-03T11:49:50Z,0,0
Waleed Amjad,Thankyou !,2022-09-02T20:44:56Z,0,0
your daily dose of fails,"my version for finding height of tree<br><br> public  static int heightNode(Node root)<br>    {<br>        if (root==null) return 0;  <br>        return 1+ Math.max(heightNode(root.left),heightNode(root.right));<br>    }",2022-09-02T12:31:48Z,0,0
Yash Raj,"how did the sum of function calculated the sum of the data of each node and not the count just by changing its name to sum..the root data was added by <a href=""http://root.data/"">root.data</a> but how the data of left and right nodes got extracted ??",2022-08-31T06:19:48Z,0,1
gaurav,"I am very lucky to get this video, really helpful it makes me able to understand how to use recursion and queue and think about tree questions. Thanks Shraddha Di. Keep it up with different content . Best wishes from my side",2022-08-29T17:18:19Z,2,0
neha sing,Same code gave me index out of bound exception any one have any idea..?,2022-08-29T14:52:32Z,0,0
Photon,"This is good, especially the diameter implementation. Quickly got one doubt, Can we assume that in the case of Height balanced trees such as AVL Tree and Red Black Tree, the diameter of the tree will always go through the root?",2022-08-29T05:48:10Z,0,0
Kartik Auti,haard  for beginer,2022-08-27T08:06:10Z,0,0
Dark Lord,What is static class? Why it is static?,2022-08-22T09:06:58Z,0,0
Kishan Kanabar,"Hi Mam,<br>Couldnt it be solve it like this to achieve O(n).<br><br>public static int diameterOfTree(Node rootNode)<br>		{<br><br>			if(rootNode==null)<br>				<br>			{<br>				return 0;<br>			}<br>			<br>			if(rootNode.left==null)<br>				<br>			{<br>				rootNode=rootNode.right;<br>				return diameterOfTree(rootNode);<br>				<br>			}<br>			else if(rootNode.right==null)<br>			{<br>				rootNode=rootNode.left;<br>				return diameterOfTree(rootNode);<br>			}<br>			else<br>			{<br>				int heightOfLeft = heightOfTree(rootNode.left);<br>				int heightOfRight = heightOfTree(rootNode.right);<br>			    return heightOfLeft+heightOfRight+1;<br>			}<br>			<br>			<br>		}",2022-08-19T14:41:30Z,1,1
Learning Shahnawaz,Sardha didi aap sare doubt clear dete h 🙏🙏 so thank you so much 🙏,2022-08-08T15:19:01Z,0,0
PRATIK NAIK,"Preorder <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=19m10s"">19:10</a> <br>Inorder <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=24m20s"">24:20</a><br>PostOrder <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=27m42s"">27:42</a><br>Level order <a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=30m40s"">30:40</a>",2022-08-07T10:23:24Z,1,0
1205 Saikarthik,maam please explain dry run of recursive code,2022-08-04T09:33:08Z,0,0
Sandipan Rakshit,So interesting and attractive,2022-08-03T04:17:07Z,0,0
Keshav Agarwal,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=1h09m42s"">1:09:42</a>",2022-08-02T13:35:34Z,0,0
Antariksh Sharma,"Exceptional.<br>This approach is through recursion. Can you please share the other approaches too like iterative one or if you already have video on them, then it will be great. I have seen some of the question on leet code where they have specifically mentioned to use iterative approach rather than the recursive one.<br><br>And yes like I said ,your videos are exceptional. Thanks :)",2022-08-02T08:37:47Z,3,0
Keshav Agarwal,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=23m47s"">23:47</a>",2022-08-01T14:38:40Z,0,0
Kishor Dige,Thank You,2022-07-28T18:06:14Z,0,0
ritesh yt,muze chakkar aa rahe... 🙆‍♂️,2022-07-26T07:15:17Z,0,0
Cinema Clockwork,I love your teaching ma&#39;am,2022-07-24T22:14:56Z,1,0
Sparsh Tandon,"<a href=""https://www.youtube.com/watch?v=-DzowlcaUmE&amp;t=50m40s"">50:40</a> it should be 2",2022-07-24T06:33:30Z,1,0
Abdul Kadir,Correction <br>You can’t create a Unique Binary tree using just one traversal. <br>The tree you created is not Unique hence code is not generalised.<br><br>You can create unique binary tree either using preorder+inorder<br>Or pre order + postorder,2022-07-23T18:20:11Z,2,0
War Hero 2,Baap re ma&#39;am aap kuch jada hi fast ho code ko bhi thoda samjha sakti ho aap,2022-07-23T06:40:34Z,0,0
Sayyam Jain,Before starting video: Why you are just particular about placements instead of making people understand concepts for their own use?<br><br>In the Middle: Going pretty well...,2022-07-22T14:33:48Z,0,0
Vishnu Sharma,Nice knowledge ❤️❤️ Connect❤️🙏🙏👍👍👌👌👌,2022-07-21T08:57:59Z,1,0
K SHIVA TEJESH NIT AP,can you explain why we are using a static Node class to create a binary tree ? We didn&#39;t do this for linked lists so why is it required now?,2022-07-21T05:58:32Z,2,0
Shivam Kumar,"Hi Shraddha,<br><br>Hope you are doing well!<br><br>Could you please make a video on GRAPH as well just like you made it for TREE?<br>Hope to meet you soon.<br><br>Thanks<br>Shivam",2022-07-19T17:43:03Z,0,0
Joy Saha,"Kindly let me know, if my code is correct or not :)<br><br>Homework Problem:<br>int sumOfKthLevel(Node* root, int k) {<br>    if(root == nullptr) {<br>        return -1;<br>    }<br><br>    std::queue&lt;Node*&gt; queue;<br>    queue.push(root);<br>    queue.push(nullptr);<br><br>    int n = 1;<br>    int sum = 0;<br><br>    while (!queue.empty())<br>    {<br>        Node* node = queue.front();<br>        queue.pop();<br><br>        if(node == nullptr) {<br>            if(queue.empty()) {<br>                break;<br>            }<br>            else {<br>                n++;<br>                queue.push(nullptr);<br>            }<br>        }<br>        else {<br>            if(n == k) {<br>                sum += node-&gt;data;<br>            }<br>            <br>            if(node-&gt;left != nullptr) {<br>                queue.push(node-&gt;left);<br>            }<br><br>            if(node-&gt;right != nullptr) {<br>                queue.push(node-&gt;right);<br>            }<br>        }<br>    }<br><br>    return sum;<br>}",2022-07-16T07:44:47Z,0,0
Siddharth Upadhyay,Thank you so much Shradha :),2022-07-12T11:12:45Z,0,0
Soumya Saxena,I like the way of your explaining di.. chutaku sa task 😄,2022-07-11T16:59:55Z,0,0
Realistic Moments,video aisa ho k shuroo k 10 sec dekhte hi like krde.... and here is the video to do so...,2022-07-09T20:09:49Z,0,0
Mohammad Saqib,zndgi m pehli baar tree smjh aaya hai thanks for this lecture,2022-07-07T20:33:33Z,0,0
Rahul Jha,background music name,2022-07-07T06:15:41Z,1,0
Krishna Kakade,Thanks for very good explanation,2022-07-06T15:25:23Z,0,0
Gautam Kumar,टहनियां ❤️❤️,2022-07-05T19:12:29Z,0,0
Jay Wagh,what about advance java,2022-07-05T07:49:15Z,0,0
MicroVirus,"Complete Binary tree in JavaScript.<br><a href=""https://youtu.be/zQiZvnqCBjM"">https://youtu.be/zQiZvnqCBjM</a>",2022-07-04T19:02:51Z,0,0
